"","logFC","AveExpr","t","P.Value","adj.P.Val","B","deltaBeta","CpG"
"cg25400013",-6.0591017846144,-6.07426333395967,-41.817333139839,9.89565946536621e-11,7.14854398475425e-09,15.1294737805784,0.195001655643216,"cg25400013"
"cg17359064",-5.54101972168629,-5.58234105372062,-41.8021993077011,9.92451426411381e-11,7.14854398475425e-09,15.1271661040668,-0.101078585355583,"cg17359064"
"cg21279015",-5.2275996368956,-5.23838979971002,-41.7384511342426,1.0047101156295e-10,7.14854398475425e-09,15.117431011442,0.115989581631977,"cg21279015"
"cg19089314",-5.13610696666985,-5.18137591700572,-41.685776513958,1.01496779077663e-10,7.14854398475425e-09,15.1093692868226,-0.109816239680092,"cg19089314"
"cg27109675",-5.49993667980584,-5.60681706909714,-41.670651643568,1.01793485663987e-10,7.14854398475425e-09,15.1070514966507,0.104625017226682,"cg27109675"
"cg08245023",-5.57075903299525,-5.63519960652237,-41.5063841616102,1.05079477251581e-10,7.14854398475425e-09,15.0817930241379,0.122297714721704,"cg08245023"
"cg22794795",-6.08092566254174,-6.07298052038987,-41.3846821477155,1.07590872475764e-10,7.14854398475425e-09,15.0629780937377,-0.123628918659373,"cg22794795"
"cg22571278",5.59042379218855,5.62294578021073,41.3721194047952,1.07853928711282e-10,7.14854398475425e-09,15.0610309708394,0.101107886467992,"cg22571278"
"cg16315928",-5.63598674190179,-5.74692375150685,-41.3197862988949,1.08957552946181e-10,7.14854398475425e-09,15.0529097811494,0.202527238500849,"cg16315928"
"cg14601050",5.09842959683962,5.19724356122006,41.1863286226115,1.11829843782531e-10,7.14854398475425e-09,15.0321263351663,-0.10246058124406,"cg14601050"
"cg15658824",-5.20374077788244,-5.11530977702699,-41.1394049327039,1.12859872864139e-10,7.14854398475425e-09,15.0247938203895,-0.132680719376133,"cg15658824"
"cg16385941",6.50522470665791,6.62121593241229,41.1390342762793,1.12868051509578e-10,7.14854398475425e-09,15.0247358478319,-0.125374524166892,"cg16385941"
"cg20068463",-5.98380679461114,-6.01605219364402,-41.0347492379533,1.15195800757941e-10,7.14854398475425e-09,15.0083926454714,0.120471923407852,"cg20068463"
"cg12871124",-6.39591771525511,-6.40846864832045,-40.975524572754,1.16541736629623e-10,7.14854398475425e-09,14.9990822485907,0.402217771359807,"cg12871124"
"cg14402574",5.67824521843583,5.63883812831825,40.9676569986108,1.16721860089192e-10,7.14854398475425e-09,14.9978438487509,0.113270601406219,"cg14402574"
"cg19579695",-5.36571009333401,-5.32229796412017,-40.9673277918641,1.16729403896367e-10,7.14854398475425e-09,14.9977920216953,0.129635681994442,"cg19579695"
"cg03941577",-5.86120433106972,-5.92359309042971,-40.9661443174741,1.16756527859909e-10,7.14854398475425e-09,14.9976057018219,0.155341720336117,"cg03941577"
"cg14640310",-5.99153352203582,-5.99171067584467,-40.9659477889659,1.16761032767908e-10,7.14854398475425e-09,14.9975747606126,0.256346676689174,"cg14640310"
"cg00417807",5.15735832882813,5.11970900030498,40.9657467927373,1.16765640288796e-10,7.14854398475425e-09,14.9975431157714,0.117469270493315,"cg00417807"
"cg22064581",-5.45096318496454,-5.51312260076996,-40.9648138089684,1.1678703014159e-10,7.14854398475425e-09,14.9973962236588,0.100009256505665,"cg22064581"
"cg03697629",-5.65207497040654,-5.85930781978093,-40.9530176436477,1.17057852364108e-10,7.14854398475425e-09,14.9955385454215,-0.108431506620985,"cg03697629"
"cg11754374",5.18671066777878,5.06484658516937,40.9309188884405,1.17567107363647e-10,7.14854398475425e-09,14.9920561525921,0.105616273773798,"cg11754374"
"cg04171853",-5.33475387222253,-5.28399889423353,-40.8849286568143,1.18634928286888e-10,7.14854398475425e-09,14.9847994583256,-0.133119201149032,"cg04171853"
"cg19210140",5.08001485315753,5.08989625730131,40.7100633735981,1.22795656866624e-10,7.14854398475425e-09,14.9570913933557,0.195021391031037,"cg19210140"
"cg25007781",6.45640825322157,6.55031038729299,40.7042934895297,1.22935711541954e-10,7.14854398475425e-09,14.9561739784654,0.105227472609112,"cg25007781"
"cg18280463",-5.75956116268719,-5.7867242012743,-40.6464054086813,1.24350826319124e-10,7.14854398475425e-09,14.9469585412929,0.131730929101027,"cg18280463"
"cg26363065",-5.50309989963203,-5.4887927988816,-40.6276263419421,1.24813817305599e-10,7.14854398475425e-09,14.9439646444878,0.133286510792112,"cg26363065"
"cg00478692",-5.94238244187658,-6.02633303630401,-40.563213679966,1.26416661259403e-10,7.14854398475425e-09,14.9336791592137,0.100084070419233,"cg00478692"
"cg25931580",-5.41850250750499,-5.56035079811358,-40.4978299632888,1.28067354292684e-10,7.14854398475425e-09,14.9232126642876,-0.103609761787282,"cg25931580"
"ch.2.229228416R",-4.9789444514532,-4.94184046643037,-40.3627696663774,1.31554345941509e-10,7.14854398475425e-09,14.9015093346037,0.141797538693383,"ch.2.229228416R"
"cg21665164",-5.52398025003877,-5.58100592586675,-40.3326531060103,1.32346359746843e-10,7.14854398475425e-09,14.8966544580214,-0.122187483522299,"cg21665164"
"cg16438358",-5.26411349911756,-5.27310845147378,-40.3265623014673,1.32507187758982e-10,7.14854398475425e-09,14.8956719208605,0.107625439688449,"cg16438358"
"cg14242528",-5.54288790512955,-5.57723934682815,-40.2815442896296,1.33702721296198e-10,7.14854398475425e-09,14.8884027239484,0.171713765307935,"cg14242528"
"cg09947795",5.63949257937995,5.82301722936974,40.2806618176746,1.33726277683446e-10,7.14854398475425e-09,14.8882601029676,-0.133470306033489,"cg09947795"
"cg24728105",6.18922460519091,6.31134375381425,40.2729381176003,1.33932650413041e-10,7.14854398475425e-09,14.8870116286026,0.130598517602545,"cg24728105"
"cg22935149",-5.00630977360702,-4.92611364201996,-40.2713793959343,1.33974341908794e-10,7.14854398475425e-09,14.8867596288245,0.123952737306615,"cg22935149"
"cg18245268",5.33591871622299,5.3446713796296,40.1340466428101,1.37705488712533e-10,7.14854398475425e-09,14.8644976180265,0.122305945871883,"cg18245268"
"cg01999229",-5.25126649485571,-5.22299004524939,-40.0831300828535,1.39118369142503e-10,7.14854398475425e-09,14.8562140051799,0.153711522993729,"cg01999229"
"cg20391883",-5.81370510512616,-5.83673630164954,-39.9793044945399,1.42050161330133e-10,7.14854398475425e-09,14.8392722607016,0.225402812475844,"cg20391883"
"cg11336285",-5.46929411420535,-5.5290438610108,-39.8388917821491,1.4612610858329e-10,7.14854398475425e-09,14.8162523729952,-0.129774677528337,"cg11336285"
"cg21659774",-5.80348807667633,-5.93056638083431,-39.7807255205528,1.47852928303663e-10,7.14854398475425e-09,14.8066797629939,-0.127444115966668,"cg21659774"
"cg04415212",-6.34302971355746,-6.45896015837176,-39.760482953277,1.48459249692044e-10,7.14854398475425e-09,14.803343334072,-0.125589538610476,"cg04415212"
"cg24690722",-5.5050488479848,-5.52102599369627,-39.6288271635237,1.52471538418765e-10,7.14854398475425e-09,14.7815797290052,-0.129595659473847,"cg24690722"
"cg18595305",-5.34584022588708,-5.36484691193636,-39.6009379916096,1.53337025678692e-10,7.14854398475425e-09,14.7769552238567,-0.179779771523824,"cg18595305"
"cg19326232",-6.22416144633532,-6.28885962615864,-39.594180147172,1.53547572155747e-10,7.14854398475425e-09,14.7758339057448,0.115844159858437,"cg19326232"
"cg13495347",-6.03053005420404,-6.08491692880467,-39.587665755042,1.53750841100802e-10,7.14854398475425e-09,14.7747527057311,-0.100092586852139,"cg13495347"
"cg25857018",-5.89178857358661,-6.03961539556798,-39.5466256417682,1.5503838958471e-10,7.14854398475425e-09,14.7679349674213,-0.112380731246074,"cg25857018"
"cg08561530",4.94160775390585,4.85817312752953,39.5156151533877,1.5601931381461e-10,7.14854398475425e-09,14.7627761997212,0.106176062469324,"cg08561530"
"cg15525562",-6.17863203806604,-6.32393562458343,-39.4608521824754,1.57768649711502e-10,7.14854398475425e-09,14.7536509293796,0.19114260200311,"cg15525562"
"cg15018282",-5.2538123151952,-5.4377290530131,-39.4031182382009,1.59636784974377e-10,7.14854398475425e-09,14.7440096078361,0.107974412837619,"cg15018282"
"cg26432347",-5.72700750329125,-5.79546656652003,-39.3866249706899,1.60175022044384e-10,7.14854398475425e-09,14.7412513373385,0.107302467281268,"cg26432347"
"cg15368905",-5.39224238441993,-5.37867443991147,-39.3359119114405,1.61842790825388e-10,7.14854398475425e-09,14.7327592178672,0.148767653033434,"cg15368905"
"cg09662571",-5.68811622466145,-5.74126233376582,-39.3027464353549,1.62944029892355e-10,7.14854398475425e-09,14.7271964714286,-0.135804728443326,"cg09662571"
"cg16426149",6.48038757211002,6.54827553956859,39.274397962433,1.63891997894505e-10,7.14854398475425e-09,14.7224359858322,-0.119150880512825,"cg16426149"
"cg05065669",-6.0127719539624,-6.12073522445242,-39.2392686903431,1.65075320154453e-10,7.14854398475425e-09,14.7165295420209,0.105921542813092,"cg05065669"
"cg08676600",-5.28172617731702,-5.37320435987429,-39.187636772353,1.66831988277387e-10,7.14854398475425e-09,14.7078337880099,-0.101888480859865,"cg08676600"
"cg06190380",-5.62621706224516,-5.65861852050931,-39.1522407081257,1.68048395783812e-10,7.14854398475425e-09,14.7018623551027,0.12554510822542,"cg06190380"
"cg22783602",-5.39000441305847,-5.43263705251515,-39.1004705423611,1.69845490947193e-10,7.14854398475425e-09,14.6931137384128,0.110548873807353,"cg22783602"
"cg20483962",-5.44237114583227,-5.63553477319147,-39.0762452139425,1.70693829593337e-10,7.14854398475425e-09,14.68901385412,-0.141088640746903,"cg20483962"
"cg06341513",-5.55964430409806,-5.67016820405464,-39.0657047709487,1.71064426897858e-10,7.14854398475425e-09,14.6872287866089,0.155770766547527,"cg06341513"
"cg07200850",-5.66811746371499,-5.75920935036671,-39.0545232945442,1.71458550837861e-10,7.14854398475425e-09,14.6853343565365,-0.11486499045658,"cg07200850"
"cg21217225",-5.06344849917786,-5.09123352603238,-39.0162098758954,1.72816774705823e-10,7.14854398475425e-09,14.6788368171753,0.14137836294205,"cg21217225"
"cg12582734",-5.79513281758968,-5.9880862971925,-38.9148403786198,1.76469018240859e-10,7.14854398475425e-09,14.6615987929322,-0.114837144270117,"cg12582734"
"cg01782247",5.94750907475174,6.00926700630959,38.9093075345414,1.76670842188226e-10,7.14854398475425e-09,14.6606559628319,0.129672727708802,"cg01782247"
"cg16626327",-5.9351510238562,-6.02468407528594,-38.876495733695,1.77873073463085e-10,7.14854398475425e-09,14.655060449504,0.121675410377067,"cg16626327"
"cg16818909",-5.85915884418505,-5.8994857950609,-38.8379772726428,1.79296138854656e-10,7.14854398475425e-09,14.6484826102092,-0.102351528946967,"cg16818909"
"cg18637486",5.98907932151527,6.01008739733839,38.8358973260307,1.79373345653774e-10,7.14854398475425e-09,14.648127133941,0.128394782660808,"cg18637486"
"cg19818764",-5.89549764707672,-5.94263066236073,-38.8159064718445,1.80117305534612e-10,7.14854398475425e-09,14.6447090957034,0.105144961653569,"cg19818764"
"cg04241308",-6.26933139610391,-6.33043250192149,-38.7993211382673,1.80737159946938e-10,7.14854398475425e-09,14.6418713077727,0.142238680528503,"cg04241308"
"cg11914256",-5.5459776218549,-5.50099929549948,-38.7806922913021,1.81436246607618e-10,7.14854398475425e-09,14.6386816772004,0.127994827599908,"cg11914256"
"cg20264534",-4.85540008267753,-4.90285461231358,-38.780568238743,1.81440912109356e-10,7.14854398475425e-09,14.638660429144,0.134197238083344,"cg20264534"
"cg01877967",5.63323852457369,5.71298316419769,38.7792977774583,1.81488700737883e-10,7.14854398475425e-09,14.6384428151854,0.129440726090239,"cg01877967"
"cg02474542",-5.4580224532864,-5.53883523226542,-38.7740767576274,1.81685238817237e-10,7.14854398475425e-09,14.6375484070698,-0.156702230967077,"cg02474542"
"cg22381300",-5.74561009922829,-5.81706863183275,-38.7541796006868,1.82436434367766e-10,7.14854398475425e-09,14.6341381701659,0.123905415641664,"cg22381300"
"cg13267177",-6.14744431339895,-6.20073970073564,-38.7386000429734,1.83027059161857e-10,7.14854398475425e-09,14.6314660885965,0.104547173824527,"cg13267177"
"cg03275130",-5.05600452436744,-4.98933146412479,-38.6742795986305,1.85488304403919e-10,7.14854398475425e-09,14.620417111713,0.179370209285904,"cg03275130"
"cg25627403",-5.6252611511933,-5.6694932957451,-38.6350364341151,1.87008208704231e-10,7.14854398475425e-09,14.613662247243,0.197923521979036,"cg25627403"
"cg23920917",-4.80244865190954,-4.74299956213837,-38.606040186781,1.88140233200431e-10,7.14854398475425e-09,14.6086644995192,-0.130453923874331,"cg23920917"
"cg06462684",-5.79197063684203,-5.81177259207149,-38.5731518532842,1.89433532068999e-10,7.14854398475425e-09,14.602989046208,0.106957586919413,"cg06462684"
"cg23842205",6.09174711132574,6.13070327786443,38.5028360242358,1.92232262310434e-10,7.14854398475425e-09,14.5908302712234,0.106893436671045,"cg23842205"
"cg12114820",-6.05188810810015,-6.11833634398833,-38.4926786153841,1.92640376248066e-10,7.14854398475425e-09,14.5890711150442,0.105967727273309,"cg12114820"
"cg02354107",-5.46515304454702,-5.51118608690977,-38.4282943457852,1.95250015672467e-10,7.14854398475425e-09,14.5779041250631,0.182551413716137,"cg02354107"
"cg17030841",-6.22995405858832,-6.26002725582187,-38.4277420805343,1.95272571316547e-10,7.14854398475425e-09,14.5778082165609,0.119600936483477,"cg17030841"
"cg20341238",5.40524341558773,5.39011503725108,38.3781600687621,1.97309579737387e-10,7.14854398475425e-09,14.5691891374425,-0.104145871149202,"cg20341238"
"cg20017769",-5.64175003412971,-5.76418941702916,-38.3712913728421,1.97593648218306e-10,7.14854398475425e-09,14.5679937955102,-0.105843085430886,"cg20017769"
"cg20489453",5.55017703751687,5.78049686773091,38.3681914969463,1.97722000118955e-10,7.14854398475425e-09,14.5674542262899,-0.153280673606326,"cg20489453"
"cg25581826",-5.66073579807494,-5.67612103236405,-38.3506314288375,1.98450853581335e-10,7.14854398475425e-09,14.5643964532888,0.117315434677048,"cg25581826"
"cg16823406",-5.421045743208,-5.48989817486049,-38.3329521118957,1.99187706565838e-10,7.14854398475425e-09,14.5613157840088,-0.14079033887598,"cg16823406"
"cg13251533",5.4705441262961,5.57190992578696,38.332133307746,1.99221907734886e-10,7.14854398475425e-09,14.561173053303,-0.172466862581759,"cg13251533"
"cg21734487",-5.43793936489,-5.49816158138879,-38.2797982763709,2.01421669894554e-10,7.14854398475425e-09,14.5520406836065,0.122633101580759,"cg21734487"
"cg19390329",-4.97883658526732,-4.92766807846188,-38.2205895739245,2.03943304323126e-10,7.14854398475425e-09,14.5416861924172,0.106433598402557,"cg19390329"
"cg17726795",4.77025704353108,4.76153480825497,38.2111857570491,2.04347056486611e-10,7.14854398475425e-09,14.5400394210859,0.148343158677588,"cg17726795"
"cg03804985",-5.51829462606918,-5.60966115619441,-38.2108681725055,2.04360707618156e-10,7.14854398475425e-09,14.5399837958914,0.150439775564155,"cg03804985"
"cg05854894",-5.8792505965112,-6.12191393588212,-38.186811396541,2.05397753595952e-10,7.14854398475425e-09,14.5357682104867,0.161015789666034,"cg05854894"
"cg26837479",-5.53278236380981,-5.5661124859226,-38.1862510174204,2.05421980916629e-10,7.14854398475425e-09,14.5356699649654,0.122856469347434,"cg26837479"
"cg22914934",-5.05705693390149,-5.14780826980701,-38.1764061037033,2.05848137939272e-10,7.14854398475425e-09,14.5339436037793,-0.103629066847274,"cg22914934"
"cg08405219",-5.73840743233023,-5.91086724214074,-38.1548964756161,2.06782684955364e-10,7.14854398475425e-09,14.5301694406117,0.10241236700762,"cg08405219"
"cg23907837",-4.86112795194877,-4.80351129359744,-38.1415965397897,2.073629224291e-10,7.14854398475425e-09,14.5278341824003,-0.107803110802168,"cg23907837"
"cg05346688",5.03998297580096,4.98533618035211,38.1369709317714,2.07565152668636e-10,7.14854398475425e-09,14.5270217121598,0.160456072895676,"cg05346688"
"cg10458926",-5.40023532235941,-5.48145902442716,-38.1153007688795,2.0851552045922e-10,7.14854398475425e-09,14.5232134598864,-0.223405429239692,"cg10458926"
"cg13565585",-5.12546084795951,-5.2081463258241,-38.1152416241926,2.08518120990642e-10,7.14854398475425e-09,14.5232030615202,-0.129235660808288,"cg13565585"
"cg07413609",-5.69041982928688,-5.76513167667203,-38.1089858818178,2.08793385392682e-10,7.14854398475425e-09,14.5221030879527,0.29265454269053,"cg07413609"
"cg27499202",-4.88958058559535,-4.90991643804292,-38.1060271674178,2.08923716524378e-10,7.14854398475425e-09,14.5215827502884,0.107131041250367,"cg27499202"
"cg03716592",4.96780785903871,4.89762200338731,38.073754206687,2.10351287837904e-10,7.14854398475425e-09,14.5159030882227,0.158223141461561,"cg03716592"
"cg15955596",-4.85389933468541,-4.7848025495573,-38.0734486459764,2.10364856351887e-10,7.14854398475425e-09,14.5158492785995,0.12528859780363,"cg15955596"
"cg06418131",5.36821883116572,5.55166754174978,38.0706492044347,2.10489212153334e-10,7.14854398475425e-09,14.515356263278,0.104477700939481,"cg06418131"
"cg16624076",-5.37305882210534,-5.50442489837428,-38.0695628836936,2.1053749054382e-10,7.14854398475425e-09,14.5151649344808,0.11204606855879,"cg16624076"
"cg13708259",-5.62596994462551,-5.59281252724472,-38.0582593241403,2.11040583320735e-10,7.14854398475425e-09,14.5131736030563,0.14122371625715,"cg13708259"
"cg18058596",5.6466147537523,5.78938032678846,38.0477493548682,2.11509567066617e-10,7.14854398475425e-09,14.5113212810347,0.101031417044507,"cg18058596"
"cg03436453",-4.83634210581816,-4.94627983268963,-38.039145159284,2.11894381468427e-10,7.14854398475425e-09,14.5098042692505,0.141776378225487,"cg03436453"
"cg23609821",-4.87327645239504,-4.89300102823946,-38.0340285740507,2.12123588655867e-10,7.14854398475425e-09,14.5089019164532,-0.133833641144387,"cg23609821"
"cg02574861",5.40303800078288,5.50497667866221,38.0162549943118,2.12921956544843e-10,7.14854398475425e-09,14.5057659812438,0.12281800964687,"cg02574861"
"cg16356516",4.90434257571796,4.78605176266199,37.9774994472152,2.1467453918581e-10,7.14854398475425e-09,14.4989204009564,0.106465835937575,"cg16356516"
"cg04337538",5.80630873741066,5.88310054054325,37.9143294621383,2.17566016790358e-10,7.14854398475425e-09,14.4877399144514,0.115155347829261,"cg04337538"
"cg19979107",-4.85366460769559,-4.81581283464542,-37.9142801488697,2.17568291025308e-10,7.14854398475425e-09,14.4877311755749,0.218749992511141,"cg19979107"
"cg08991457",-6.1907772056911,-6.29769914519287,-37.8858729244041,2.18882827687319e-10,7.14854398475425e-09,14.4826942597115,0.138395314723556,"cg08991457"
"cg23831143",-5.05901150931499,-5.06393954811576,-37.7837914748896,2.23680781676052e-10,7.14854398475425e-09,14.4645473467776,0.122127070856694,"cg23831143"
"cg02326328",-6.11044099106363,-6.16504857384078,-37.7687654072964,2.24396948958928e-10,7.14854398475425e-09,14.4618699882695,-0.117240460723204,"cg02326328"
"cg07460129",-4.98928187748563,-4.99793812053555,-37.7327829066279,2.26122426060873e-10,7.14854398475425e-09,14.4554521194634,-0.116799673393057,"cg07460129"
"cg20672465",-5.57847012003979,-5.75293810947691,-37.7281763253468,2.26344400562368e-10,7.14854398475425e-09,14.454629825648,0.102221662978057,"cg20672465"
"cg12529083",-5.86870219601837,-5.9309773905161,-37.6909325817614,2.28148057264847e-10,7.14854398475425e-09,14.447976152873,0.11928646611558,"cg12529083"
"cg17125804",6.5253692950283,6.56105272171129,37.653294605859,2.29987222876071e-10,7.14854398475425e-09,14.4412420717266,-0.106324106421342,"cg17125804"
"cg10191684",-5.48322243609835,-5.62122438556962,-37.5318630607004,2.36035423060612e-10,7.14854398475425e-09,14.4194472607337,-0.103067622420479,"cg10191684"
"cg14499426",5.59880821384643,5.5810399845048,37.5200782292357,2.36631843607601e-10,7.14854398475425e-09,14.4173264984937,0.101527725387979,"cg14499426"
"cg10999312",-6.15757064613803,-6.26267013585218,-37.491975438342,2.38060945572933e-10,7.1509741366018e-09,14.4122652008472,0.11288676164252,"cg10999312"
"cg25879832",-5.12179520694685,-5.12754852804413,-37.4606764159106,2.39664006497618e-10,7.15493552196971e-09,14.4066216120826,-0.120126068757455,"cg25879832"
"cg13266326",4.91123584845981,4.78730711149282,37.4556573416742,2.39922197743383e-10,7.15493552196971e-09,14.4057159599892,0.201378904184624,"cg13266326"
"cg27080601",-5.53713212562084,-5.58969088926247,-37.4540728308792,2.40003773026912e-10,7.15493552196971e-09,14.4054300100965,-0.100794112637751,"cg27080601"
"cg16109795",-5.31951485561262,-5.39415400931284,-37.4537857094229,2.40018558218984e-10,7.15493552196971e-09,14.4053781925879,-0.110100636482284,"cg16109795"
"cg07591395",-4.74433878377089,-4.72210782722868,-37.3832443958132,2.43682247655055e-10,7.15493552196971e-09,14.3926294980895,0.120462671724806,"cg07591395"
"cg26173435",4.98440195320593,4.92594543700607,37.292093503978,2.48509697948082e-10,7.16387382355104e-09,14.3761030572204,0.117818543728561,"cg26173435"
"cg25912827",-5.30304051726553,-5.38535948126996,-37.2868710904181,2.48789518825546e-10,7.16387382355104e-09,14.3751543719109,0.125187585292352,"cg25912827"
"cg16250461",-5.70531478507525,-5.70642631680606,-37.2276479720561,2.51987623067454e-10,7.16754564189573e-09,14.3643822931736,0.106572027997863,"cg16250461"
